node(edge0, OpB, 36, []).
node(edge1, OpB, 5, []).
node(edge2, OpA, 39, [t4, t3]).
node(edge3, OpA, 23, [t1]).
node(edge4, OpB, 30, [t5]).
node(edge5, OpB, 17, [t2]).
node(edge6, OpB, 4, []).
node(edge7, OpB, 5, []).
node(edge8, OpA, 12, []).
node(edge9, OpA, 14, []).
node(edge10, OpB, 2, []).
node(edge11, OpA, 18, []).
node(edge12, OpA, 31, []).
node(edge13, OpB, 3, []).
node(edge14, OpB, 4, []).
node(edge15, OpA, 41, []).
node(edge16, OpA, 3, []).
node(edge17, OpB, 24, []).
node(edge18, OpB, 27, []).
node(edge19, OpA, 4, []).
node(edge20, OpA, 3, []).
node(cloud21, OpB, 10000, []).
node(edge22, OpA, 50, []).
node(edge23, OpA, 43, []).
node(edge24, OpA, 38, []).
node(edge25, OpA, 22, []).
node(edge26, OpB, 45, []).
node(edge27, OpB, 18, []).
node(edge28, OpA, 11, []).
node(edge29, OpB, 14, []).
node(edge30, OpA, 13, []).
node(cloud31, OpA, 10000, []).
node(edge32, OpA, 3, []).
node(edge33, OpA, 41, []).
node(edge34, OpA, 33, []).
node(edge35, OpA, 3, []).
node(edge36, OpA, 40, []).
node(edge37, OpB, 3, []).
node(edge38, OpA, 45, []).
node(edge39, OpB, 38, []).
node(edge40, OpA, 31, []).
node(edge41, OpB, 46, []).
node(edge42, OpA, 14, []).
node(edge43, OpA, 32, []).
node(edge44, OpB, 7, []).
node(edge45, OpA, 20, []).
node(edge46, OpA, 23, []).
node(edge47, OpB, 20, []).
node(edge48, OpA, 15, []).
node(edge49, OpB, 19, []).
node(edge50, OpA, 8, []).
node(edge51, OpA, 14, []).
node(edge52, OpA, 4, []).
node(cloud53, OpB, 10000, []).
node(edge54, OpB, 44, []).
node(edge55, OpA, 4, []).
node(edge56, OpB, 38, []).
node(edge57, OpB, 7, []).
node(edge58, OpB, 25, []).
node(edge59, OpB, 6, []).
node(edge60, OpB, 17, []).
node(cloud61, OpB, 10000, []).
node(edge62, OpB, 34, []).
node(edge63, OpB, 43, []).
node(edge64, OpB, 49, []).
node(edge65, OpB, 11, []).
node(edge66, OpB, 3, []).
node(edge67, OpB, 22, []).
node(cloud68, OpB, 10000, []).
node(edge69, OpA, 49, []).
node(cloud70, OpA, 10000, []).
node(edge71, OpB, 30, []).
node(edge72, OpB, 8, []).
node(edge73, OpB, 27, []).
node(edge74, OpB, 39, []).
node(edge75, OpA, 30, []).
node(edge76, OpB, 22, []).
node(edge77, OpB, 36, []).
node(edge78, OpB, 50, []).
node(edge79, OpA, 14, []).
node(edge80, OpA, 21, []).
node(edge81, OpB, 39, []).
node(edge82, OpA, 19, []).
node(edge83, OpA, 45, []).
node(edge84, OpB, 29, []).
node(edge85, OpA, 44, []).
node(cloud86, OpB, 10000, []).
node(edge87, OpA, 22, []).
node(edge88, OpB, 12, []).
node(edge89, OpB, 6, []).
node(edge90, OpA, 22, []).
node(edge91, OpA, 16, []).
node(edge92, OpB, 5, []).
node(edge93, OpB, 11, []).
node(edge94, OpB, 49, []).
node(edge95, OpB, 50, []).
node(edge96, OpA, 1, []).
node(cloud97, OpB, 10000, []).
node(edge98, OpA, 15, []).
node(edge99, OpA, 11, []).
node(edge100, OpA, 37, []).
node(cloud101, OpB, 10000, []).
node(edge102, OpB, 45, []).
node(edge103, OpB, 13, []).
node(edge104, OpB, 6, []).
node(cloud105, OpA, 10000, []).
node(edge106, OpB, 14, []).
node(edge107, OpB, 16, []).
node(edge108, OpA, 20, []).
node(edge109, OpB, 6, []).
node(edge110, OpA, 33, []).
node(edge111, OpB, 9, []).
node(edge112, OpB, 1, []).
node(edge113, OpA, 6, []).
node(edge114, OpA, 36, []).
node(edge115, OpB, 39, []).
node(edge116, OpB, 13, []).
node(edge117, OpB, 4, []).
node(edge118, OpB, 49, []).
node(edge119, OpB, 29, []).
node(edge120, OpA, 3, []).
node(edge121, OpA, 11, []).
node(edge122, OpB, 33, []).
node(edge123, OpA, 36, []).
node(edge124, OpB, 16, []).
node(edge125, OpB, 45, []).
node(edge126, OpB, 29, []).
node(edge127, OpB, 35, []).
node(edge128, OpB, 35, []).
node(edge129, OpA, 9, []).
node(edge130, OpB, 28, []).
node(edge131, OpB, 26, []).
node(edge132, OpB, 10, []).
node(edge133, OpB, 9, []).
node(edge134, OpB, 23, []).
node(edge135, OpA, 18, []).
node(cloud136, OpA, 10000, []).
node(edge137, OpB, 15, []).
node(edge138, OpB, 16, []).
node(edge139, OpB, 2, []).
node(cloud140, OpB, 10000, []).
node(edge141, OpB, 5, []).
node(edge142, OpB, 14, []).
node(edge143, OpA, 27, []).
node(edge144, OpB, 42, []).
node(edge145, OpA, 50, []).
node(edge146, OpB, 6, []).
node(edge147, OpB, 25, []).
node(edge148, OpB, 19, []).
node(edge149, OpA, 26, []).
node(edge150, OpA, 25, []).
node(cloud151, OpA, 10000, []).
node(edge152, OpA, 35, []).
node(cloud153, OpA, 10000, []).
node(edge154, OpA, 29, []).
node(edge155, OpA, 38, []).
node(edge156, OpA, 41, []).
node(edge157, OpB, 29, []).
node(edge158, OpB, 20, []).
node(edge159, OpB, 12, []).
node(edge160, OpB, 34, []).
node(cloud161, OpB, 10000, []).
node(edge162, OpA, 21, []).
node(cloud163, OpA, 10000, []).
node(cloud164, OpA, 10000, []).
node(edge165, OpA, 48, []).
node(edge166, OpB, 50, []).
node(edge167, OpB, 47, []).
node(edge168, OpA, 2, []).
node(edge169, OpA, 49, []).
node(cloud170, OpA, 10000, []).
node(edge171, OpA, 29, []).
node(edge172, OpB, 45, []).
node(edge173, OpB, 1, []).
node(edge174, OpB, 5, []).
node(edge175, OpB, 25, []).
node(edge176, OpB, 36, []).
node(edge177, OpA, 48, []).
node(edge178, OpA, 7, []).
node(cloud179, OpA, 10000, []).
node(edge180, OpB, 24, []).
node(edge181, OpA, 35, []).
node(edge182, OpA, 43, []).
node(edge183, OpA, 9, []).
node(edge184, OpB, 25, []).
node(edge185, OpA, 46, []).
node(edge186, OpB, 8, []).
node(edge187, OpB, 13, []).
node(edge188, OpB, 46, []).
node(edge189, OpB, 10, []).
node(edge190, OpB, 31, []).
node(edge191, OpA, 41, []).
node(edge192, OpA, 7, []).
node(edge193, OpB, 16, []).
node(edge194, OpB, 7, []).
node(edge195, OpB, 11, []).
node(edge196, OpA, 48, []).
node(edge197, OpB, 40, []).
node(edge198, OpA, 10, []).
node(edge199, OpB, 3, []).
node(edge200, OpB, 29, []).
node(edge201, OpA, 1, []).
node(edge202, OpA, 35, []).
node(edge203, OpB, 34, []).
node(edge204, OpB, 2, []).
node(edge205, OpA, 38, []).
node(edge206, OpB, 37, []).
node(edge207, OpB, 17, []).
node(edge208, OpA, 29, []).
node(edge209, OpB, 2, []).
node(edge210, OpB, 32, []).
node(edge211, OpB, 1, []).
node(edge212, OpB, 40, []).
node(edge213, OpA, 38, []).
node(edge214, OpA, 11, []).
node(edge215, OpA, 39, []).
node(edge216, OpB, 3, []).
node(edge217, OpA, 21, []).
node(edge218, OpA, 4, []).
node(edge219, OpB, 20, []).
node(edge220, OpB, 37, []).
