node(edge0, opB, 28, []).
node(edge1, opB, 6, [t1]).
node(edge2, opB, 2, []).
node(edge3, opB, 20, []).
node(edge4, opB, 42, []).
node(edge5, opB, 27, []).
node(edge6, opA, 32, []).
node(edge7, opA, 47, [t2, t3]).
node(edge8, opB, 33, []).
node(edge9, opB, 50, []).
node(edge10, opA, 31, []).
node(edge11, opB, 38, []).
node(edge12, opA, 44, []).
node(edge13, opB, 39, []).
node(edge14, opB, 12, []).
node(cloud15, opA, 10000, []).
node(edge16, opB, 14, [t4]).
node(edge17, opB, 39, []).
node(edge18, opA, 43, []).
node(edge19, opA, 41, []).
node(edge20, opA, 18, []).
node(edge21, opB, 30, []).
node(edge22, opB, 14, []).
node(edge23, opA, 37, []).
node(edge24, opB, 5, []).
node(edge25, opB, 9, []).
node(edge26, opA, 8, [t5]).
node(edge27, opA, 2, []).
node(edge28, opB, 12, []).
node(edge29, opB, 28, []).
node(edge30, opB, 25, []).
node(edge31, opA, 45, []).
node(edge32, opB, 3, []).
node(edge33, opA, 14, []).
node(edge34, opA, 11, []).
node(edge35, opA, 14, []).
node(edge36, opB, 4, []).
node(edge37, opB, 5, []).
node(edge38, opA, 25, []).
node(edge39, opB, 31, []).
node(edge40, opB, 23, []).
node(edge41, opB, 7, []).
node(edge42, opB, 24, []).
node(edge43, opA, 22, []).
node(edge44, opA, 5, []).
node(cloud45, opB, 10000, []).
node(edge46, opA, 42, []).
node(edge47, opA, 11, []).
node(edge48, opB, 20, []).
node(cloud49, opB, 10000, []).
link(edge0, edge11, 110, 47).
link(edge11, edge0, 50, 29).
link(edge1, edge7, 91, 18).
link(edge7, edge1, 57, 38).
link(edge1, edge33, 103, 6).
link(edge33, edge1, 64, 1).
link(edge1, edge34, 144, 48).
link(edge34, edge1, 136, 37).
link(edge1, cloud45, 118, 40).
link(cloud45, edge1, 7, 18).
link(edge1, cloud49, 42, 2).
link(cloud49, edge1, 13, 43).
link(edge2, edge12, 23, 44).
link(edge12, edge2, 67, 50).
link(edge2, edge27, 77, 45).
link(edge27, edge2, 125, 36).
link(edge2, edge32, 126, 5).
link(edge32, edge2, 92, 8).
link(edge2, edge36, 74, 33).
link(edge36, edge2, 123, 36).
link(edge2, edge37, 118, 21).
link(edge37, edge2, 120, 34).
link(edge2, edge44, 103, 34).
link(edge44, edge2, 88, 11).
link(edge3, edge9, 107, 8).
link(edge9, edge3, 97, 30).
link(edge3, edge10, 28, 7).
